ID_DEV;DEV_NAME;DEV_TYP;DEV_DESC;DEV_LOC;DEV_VAL_DESC;DEV_VAL_UNIT;DEV_OLD_NAME;DEV_OLD_TYP;DEV_MQTT;DEV_FL_ACT;DEV_FL_STO;DEV_FL_MQTT;DEV_FL_INT
100901;"Weatherman";"wm_sys_mac-adr";"Wetterstation";"Garten";"MAC-Adresse";"";"Systeminfo";"MAC-Adresse";"/myHOME/sensor/devices/Weatherman";1;0;0;0;
100902;"Weatherman";"wm_sys_hm-ccu-ip";"Wetterstation";"Garten";"Homematic CCU IP";"";"Systeminfo";"Homematic_CCU_ip";"/myHOME/sensor/devices/Weatherman";1;0;0;0;
100903;"Weatherman";"wm_sys_wlan-ssid";"Wetterstation";"Garten";"WLAN SSID";"";"Systeminfo";"WLAN_ssid";"/myHOME/sensor/devices/Weatherman";1;0;0;0;
100904;"Weatherman";"wm_sys_wlan-signal-dbm";"Wetterstation";"Garten";"WLAN Signal";"dBm";"Systeminfo";"WLAN_Signal_dBm";"/myHOME/sensor/devices/Weatherman";1;0;0;0;
100905;"Weatherman";"wm_sys_sec-seit-reset";"Wetterstation";"Garten";"Zeit seit Reset";"sec";"Systeminfo";"sec_seit_reset";"/myHOME/sensor/devices/Weatherman";1;0;0;0;
100906;"Weatherman";"wm_sys_zeitpunkt";"Wetterstation";"Garten";"Zeitpunkt";"";"Systeminfo";"zeitpunkt";"/myHOME/sensor/devices/Weatherman";1;0;0;0;
100907;"Weatherman";"wm_sys_firmware";"Wetterstation";"Garten";"Firmware";"";"Systeminfo";"firmware";"/myHOME/sensor/devices/Weatherman";1;0;0;0;
100000;"Weatherman";"wm_sys_ip";"Wetterstation";"Garten";"IP-Adresse";"";"name";"0";"/myHOME/sensor/devices/Weatherman";1;0;1;0;
100001;"Weatherman";"wm_temp";"Wetterstation";"Garten";"Temperatur-Außen";"°C";"name";"1";"/myHOME/sensor/devices/Weatherman";1;1;1;0;
100021;"Weatherman";"wm_temp_windchill";"Wetterstation";"Garten";"Temperatur-Gefühlt";"°C";"name";"21";"/myHOME/sensor/devices/Weatherman";1;1;1;0;
100009;"Weatherman";"wm_temp_dewpoint";"Wetterstation";"Garten";"Temperatur-Taupunkt";"°C";"name";"9";"/myHOME/sensor/devices/Weatherman";1;1;1;0;
100014;"Weatherman";"wm_temp_sky";"Wetterstation";"Garten";"Temperatur-Himmel";"°C";"name";"14";"/myHOME/sensor/devices/Weatherman";1;0;1;0;
100002;"Weatherman";"wm_hum_pro";"Wetterstation";"Garten";"Feuchte-Außen";"%";"name";"2";"/myHOME/sensor/devices/Weatherman";1;1;1;0;
100017;"Weatherman";"wm_hum_abs";"Wetterstation";"Garten";"Feuchte-Außen";"g/m³";"name";"17";"/myHOME/sensor/devices/Weatherman";1;1;1;0;
100018;"Weatherman";"wm_rain_activity";"Wetterstation";"Garten";"Regen-Melderwert";"";"name";"18";"/myHOME/sensor/devices/Weatherman";1;1;1;0;
100007;"Weatherman";"wm_rain_status";"Wetterstation";"Garten";"Regen-Status";"";"name";"7";"/myHOME/sensor/devices/Weatherman";1;1;1;0;
